iter	RMSE
0	0.9918593138
1	0.9850300949
2	0.9771618106
3	0.9697397741
4	0.9633266428
5	0.9573219819
6	0.9520197379
7	0.9464377225
8	0.941714339
9	0.9377151011
10	0.9339476083
11	0.9301047193
12	0.926953836
13	0.9239780565
14	0.9212906764
15	0.9192169352
16	0.9160356874
17	0.913836374
18	0.9113080353
19	0.9091410408
20	0.907220931
21	0.9040560933
22	0.9018589477
23	0.900550045
24	0.8994331403
25	0.897948506
26	0.8968254411
27	0.895013488
28	0.8939261413
29	0.8922169782
30	0.8897623207
31	0.8886789976
32	0.8863700771
33	0.883995148
34	0.8822649525
35	0.8809123061
36	0.8790042244
37	0.8779113152
38	0.87602531
39	0.8738343459
40	0.8716801258
41	0.8698010524
42	0.8689214077
43	0.867682499
44	0.8669631543
45	0.8654119913
46	0.864686858
47	0.8636532519
48	0.8622277948
49	0.8608113972
50	0.8597927011
51	0.8588114897
52	0.8583790163
53	0.8563347404
54	0.8552669759
55	0.8545171794
56	0.8533516848
57	0.8526791815
58	0.8517039512
59	0.850124394
60	0.8497667905
61	0.8486231861
62	0.8475123486
63	0.8465006454
64	0.8454170998
65	0.844236078
66	0.8428897497
67	0.8414665272
68	0.8403661221
69	0.8388345652
70	0.8371156623
71	0.8355802302
72	0.8343924474
73	0.8327978246
74	0.8311000656
75	0.8296848379
76	0.8284568989
77	0.8274510781
78	0.8263626621
79	0.8254777314
80	0.8236716711
81	0.8222215073
82	0.8205263984
83	0.8191380825
84	0.8175253438
85	0.816273904
86	0.81515622
87	0.813794642
88	0.8125969461
89	0.8116908567
90	0.8109955187
91	0.8100872826
92	0.8083102593
93	0.8070767569
94	0.8058296523
95	0.8053784162
96	0.8044885849
97	0.8038480831
98	0.8028629199
99	0.8016543692
100	0.800580413
101	0.7998140646
102	0.7987652089
103	0.7975472952
104	0.7965901289
105	0.795553489
106	0.7944647075
107	0.7937178288
108	0.7926814914
109	0.7913700937
110	0.7899436457
111	0.7881861104
112	0.7873014598
113	0.7849575206
114	0.7842406011
115	0.7830248993
116	0.7821093301
117	0.7815390206
118	0.7808189983
119	0.7797813695
120	0.7788658825
121	0.7776555986
122	0.7764550639
123	0.7755469749
124	0.7746828532
125	0.7734124807
126	0.7726755235
127	0.7713701852
128	0.7700934344
129	0.7689385989
130	0.7676472616
131	0.7661480834
132	0.7650766326
133	0.7628717404
134	0.7615706037
135	0.7608637184
136	0.7593761408
137	0.7579457213
138	0.7572843404
139	0.7561541771
140	0.7551280559
141	0.7543059673
142	0.7532496776
143	0.7530451227
144	0.7514365264
145	0.7496423789
146	0.7479104132
147	0.7475210506
148	0.7464336214
149	0.7453786654
150	0.7444135328
151	0.7440633342
152	0.7427087495
153	0.7413378372
154	0.7404574316
155	0.7397001108
156	0.7392152877
157	0.7378527357
158	0.7371128753
159	0.7357371654
160	0.7350390853
161	0.7341655743
162	0.7333814935
163	0.7320277913
164	0.7310476447
165	0.7302523209
166	0.7284087905
167	0.7274966367
168	0.7258432422
169	0.7243803904
170	0.7235810176
171	0.7229666638
172	0.7218603408
173	0.7214068593
174	0.7203543352
175	0.7196051055
176	0.7186824121
177	0.7177288035
178	0.7168200089
179	0.715719432
180	0.7150781459
181	0.7141679067
182	0.7128531653
183	0.7115709238
184	0.7096754912
185	0.7082482803
186	0.7071246877
187	0.7065076386
188	0.7057826196
189	0.7051037782
190	0.704420227
191	0.7036851767
192	0.7028369816
193	0.7019346242
194	0.7006062254
195	0.6998834986
196	0.6992837521
197	0.6983574198
198	0.6978583205
199	0.6971752545
200	0.6965371323
201	0.6959056786
202	0.6953057607
203	0.6941321088
204	0.6935796902
205	0.6918066026
206	0.691251943
207	0.6903800459
208	0.6891773819
209	0.6878651722
210	0.6867745
211	0.6861667088
212	0.6855659919
213	0.6845894817
214	0.6835592636
215	0.682533438
216	0.6811690563
217	0.6797972335
218	0.6789066115
219	0.6783820461
220	0.6774999982
221	0.6760987025
222	0.6750852185
223	0.6743768605
224	0.6732235649
225	0.6724362797
226	0.6714357514
227	0.6708827303
228	0.6702312576
229	0.6695184108
230	0.6688910562
231	0.6682787336
232	0.6677036065
233	0.6674877972
234	0.6667844754
235	0.6662607737
236	0.6653013809
237	0.6644782274
238	0.6637525001
239	0.662654978
240	0.6617496855
241	0.6610830467
242	0.6603146258
243	0.6594647645
244	0.6585237058
245	0.6581720303
246	0.6577846474
247	0.6570782256
248	0.6561917448
249	0.6553473675
250	0.6550378602
251	0.654701663
252	0.6537605072
253	0.6529984704
254	0.6524268913
255	0.6512984119
256	0.6498153203
257	0.649176515
258	0.6488398523
259	0.648060828
260	0.6472706536
261	0.6464924295
262	0.6460115986
263	0.6452025615
264	0.6444625297
265	0.64379891
266	0.6433181481
267	0.642411191
268	0.6417453832
269	0.6410732153
270	0.6400734315
271	0.6396395843
272	0.6389623051
273	0.6383575506
274	0.6378515961
275	0.6373334914
276	0.6367362866
277	0.6364483719
278	0.6359101018
279	0.6352835242
280	0.6344830035
281	0.633550953
282	0.632665949
283	0.6315731237
284	0.6311517196
285	0.6302480122
286	0.6294179808
287	0.6285156233
288	0.6274969293
289	0.6272170122
290	0.6269058312
291	0.6258342916
292	0.6251030341
293	0.6242785299
294	0.6238303243
295	0.6230774689
296	0.6213427094
297	0.6207506632
298	0.619769692
299	0.6191542693
300	0.6184201256
301	0.6177204018
302	0.6172563443
303	0.6167325357
304	0.6160796732
305	0.6155677488
306	0.6146294503
307	0.6139429117
308	0.6136911906
309	0.6129902809
310	0.6121159431
311	0.6115319692
312	0.6105715264
313	0.6092102972
314	0.6087035939
315	0.6081049598
316	0.6077088356
317	0.6070795933
318	0.606573771
319	0.6056305596
320	0.6049607283
321	0.6042871033
322	0.6034113561
323	0.602597283
324	0.6015438556
325	0.6007451383
326	0.6003952831
327	0.5998434095
328	0.5989358685
329	0.5981503864
330	0.5977836202
331	0.5966841197
332	0.5960548626
333	0.5953589451
334	0.5948544206
335	0.59384119
336	0.5931663771
337	0.59243652
338	0.5919591282
339	0.5910306919
340	0.5902735894
341	0.589002088
342	0.5883737219
343	0.5880002703
344	0.5872914269
345	0.5867098627
346	0.5865622565
347	0.5860265735
348	0.5850207526
349	0.584304773
350	0.5837841708
351	0.5829148478
352	0.58213903
353	0.5810075465
354	0.5806039382
355	0.5801381373
356	0.579720032
357	0.5791699439
358	0.5789613525
359	0.5782031462
360	0.5777690154
361	0.5771578621
362	0.576315793
363	0.575744302
364	0.575694029
365	0.5750879661
366	0.5742791458
367	0.5742188005
368	0.573685138
369	0.572894684
370	0.5722393691
371	0.5720178705
372	0.5716320519
373	0.570860968
374	0.570010431
375	0.5696585184
376	0.5688059975
377	0.568507095
378	0.5675025609
379	0.5670690351
380	0.5662949433
381	0.5656877722
382	0.5651670061
383	0.5645606384
384	0.5641678597
385	0.5634399278
386	0.5629670482
387	0.5624094558
388	0.5618680894
389	0.5609200643
390	0.5603589108
391	0.5598697874
392	0.5588786976
393	0.558255954
394	0.5579584393
395	0.5571596263
396	0.5568259061
397	0.5562438743
398	0.555325997
399	0.554776319
400	0.5539198878
401	0.5535725812
402	0.5531187924
403	0.5524935368
404	0.5518150313
405	0.5514228941
406	0.5511085487
407	0.5504246277
408	0.5498642012
409	0.5493473465
410	0.5487547034
411	0.5482111725
412	0.5470880885
413	0.5465787702
414	0.5461479394
415	0.5460384844
416	0.5452945236
417	0.5445881765
418	0.5441380648
419	0.5436770593
420	0.5431310426
421	0.5424340761
422	0.5418062087
423	0.5415133447
424	0.5411849039
425	0.540711333
426	0.5402611222
427	0.5393596482
428	0.538439535
429	0.5377604752
430	0.5372626381
431	0.5367345616
432	0.5363687222
433	0.5360011404
434	0.5354564684
435	0.535136801
436	0.5346902
437	0.5344107161
438	0.5338933836
439	0.5334349232
440	0.5329024982
441	0.5320323293
442	0.5311033931
443	0.5305292453
444	0.5299452551
445	0.5297578866
446	0.5290489477
447	0.5284287183
448	0.5276996402
449	0.5271193698
450	0.5267637674
451	0.5263862752
452	0.5258460365
453	0.5249692006
454	0.5240251282
455	0.5232925175
456	0.5229517829
457	0.5225170036
458	0.5222183059
459	0.521625585
460	0.5211002532
461	0.5207723925
462	0.5201485473
463	0.5193329132
464	0.5183480557
465	0.5182262752
466	0.5181280581
467	0.5176314228
468	0.5170915103
469	0.5166592291
470	0.516034244
471	0.5156460403
472	0.5152885352
473	0.5149425777
474	0.514437365
475	0.5142154475
476	0.5136116689
477	0.5130766216
478	0.5120608821
479	0.5116689489
480	0.5114430392
481	0.5107597226
482	0.5102714204
483	0.5098798922
484	0.5093530321
485	0.5087493998
486	0.5082563498
487	0.5078690816
488	0.5073672285
489	0.5067044203
490	0.5064453
491	0.5057419073
492	0.5053699829
493	0.5050605204
494	0.5043180986
495	0.5036504039
496	0.5032990124
497	0.5027287889
498	0.5017134818
499	0.5011262572
500	0.5004049337
501	0.4998777816
502	0.4996818092
503	0.4991222769
504	0.4987766842
505	0.4983346199
506	0.4974115521
507	0.4969105252
508	0.4964985431
509	0.4958911491
510	0.4953629047
511	0.4946439783
512	0.494441746
513	0.4940451629
514	0.4932355756
515	0.4926682164
516	0.4920229419
517	0.4917305759
518	0.4912342345
519	0.4906130457
520	0.4900576531
521	0.4890411107
522	0.4883034389
523	0.4880214466
524	0.487502793
525	0.4871218033
526	0.4866749148
527	0.4862953917
528	0.4858318674
529	0.4852131782
530	0.4846346988
531	0.4840229617
532	0.4835472141
533	0.4831217062
534	0.4828503363
535	0.482573841
536	0.4823348058
537	0.4819478969
538	0.4815977001
539	0.4813510581
540	0.481063562
541	0.4807544955
542	0.4805249446
543	0.4801080375
544	0.479820434
545	0.4792975697
546	0.4790697064
547	0.4785852602
548	0.4780655151
549	0.4774461668
550	0.4769474209
551	0.4761014885
552	0.47558417
553	0.4751591426
554	0.4746938634
555	0.4744028596
556	0.4739247093
557	0.4736871105
558	0.4730659287
559	0.4724386909
560	0.4721589343
561	0.4718467771
562	0.4714597464
563	0.4710598166
564	0.4706279269
565	0.4704042224
566	0.4697741131
567	0.4690123514
568	0.4685980557
569	0.4681784247
570	0.4678500096
571	0.4676978655
572	0.4673278387
573	0.4668107799
574	0.4665814334
575	0.4660828201
576	0.4655335188
577	0.4650972183
578	0.4648827918
579	0.4644359568
580	0.4639832086
581	0.4637219704
582	0.4634232535
583	0.4627968213
584	0.4621648534
585	0.4617853552
586	0.4611770924
587	0.460943392
588	0.4607032581
589	0.4603339732
590	0.4600322292
591	0.4598538878
592	0.4593616181
593	0.4588252745
594	0.4584373041
595	0.4581357165
596	0.4577618549
597	0.457309844
598	0.4569741352
599	0.4567512008
600	0.4560393319
601	0.4554131054
602	0.4552896573
603	0.4545852834
604	0.4540563821
605	0.453440448
606	0.4531469639
607	0.4528595591
608	0.4524266389
609	0.4518842662
610	0.4514514846
611	0.4511848559
612	0.4508454926
613	0.4506535857
614	0.450331886
615	0.450193307
616	0.4496434479
617	0.4491933904
618	0.4487881497
619	0.4483037054
620	0.4479557515
621	0.4477237806
622	0.4473134741
623	0.4470607108
624	0.446658725
625	0.4464240418
626	0.4461470905
627	0.4460256468
628	0.4454135752
629	0.4451574203
630	0.4448808344
631	0.4445971217
632	0.4442603149
633	0.4438196986
634	0.4434040304
635	0.4429290474
636	0.4422348998
637	0.4419926099
638	0.4416226428
639	0.4414006011
640	0.4410880773
641	0.4405838444
642	0.4402918789
643	0.4399362344
