iter	Passed	Remaining
0	17	35570
1	33	32999
2	44	29822
3	56	28420
4	68	27433
5	79	26556
6	89	25489
7	99	24673
8	109	24171
9	119	23703
10	128	23292
11	138	22942
12	148	22646
13	157	22349
14	167	22140
15	176	21928
16	186	21726
17	196	21600
18	205	21475
19	215	21362
20	225	21257
21	235	21134
22	244	21057
23	254	20950
24	264	20875
25	274	20803
26	283	20689
27	292	20630
28	302	20570
29	312	20518
30	322	20456
31	331	20390
32	341	20356
33	351	20306
34	360	20255
35	370	20216
36	380	20167
37	389	20107
38	399	20077
39	409	20064
40	420	20074
41	429	20030
42	439	19990
43	448	19950
44	458	19905
45	467	19865
46	477	19836
47	487	19806
48	496	19771
49	507	19794
50	521	19934
51	533	19969
52	543	19968
53	554	19986
54	565	19995
55	576	20015
56	587	20033
57	600	20102
58	612	20138
59	622	20118
60	631	20086
61	642	20068
62	651	20045
63	661	20015
64	671	19987
65	681	19959
66	690	19932
67	700	19904
68	710	19881
69	720	19872
70	731	19880
71	742	19880
72	753	19894
73	764	19900
74	775	19916
75	787	19938
76	798	19947
77	812	20023
78	826	20098
79	840	20165
80	856	20286
81	874	20463
82	892	20604
83	909	20739
84	926	20869
85	941	20946
86	956	21022
87	970	21090
88	985	21161
89	1000	21241
90	1017	21338
91	1029	21357
92	1041	21350
93	1052	21347
94	1064	21354
95	1075	21321
96	1085	21305
97	1097	21301
98	1106	21256
99	1118	21246
100	1129	21231
101	1139	21200
102	1150	21195
103	1164	21221
104	1174	21194
105	1184	21167
106	1196	21164
107	1208	21164
108	1218	21141
109	1230	21143
110	1240	21111
111	1251	21094
112	1263	21091
113	1272	21053
114	1282	21019
115	1293	21007
116	1304	20992
117	1315	20978
118	1325	20956
119	1336	20938
120	1346	20902
121	1355	20871
122	1365	20833
123	1374	20802
124	1384	20771
125	1394	20743
126	1404	20716
127	1414	20688
128	1424	20657
129	1435	20651
130	1447	20658
131	1462	20703
132	1476	20723
133	1489	20744
134	1501	20737
135	1515	20769
136	1530	20810
137	1544	20845
138	1557	20857
139	1568	20845
140	1583	20878
141	1597	20904
142	1613	20948
143	1628	20987
144	1642	21010
145	1653	21002
146	1667	21019
147	1680	21033
148	1693	21042
149	1705	21032
150	1715	21011
151	1725	20983
152	1737	20977
153	1747	20949
154	1758	20933
155	1770	20933
156	1781	20910
157	1791	20887
158	1803	20882
159	1814	20862
160	1823	20832
161	1835	20823
162	1845	20798
163	1856	20779
164	1867	20773
165	1877	20745
166	1888	20725
167	1899	20716
168	1909	20689
169	1920	20670
170	1930	20645
171	1939	20614
172	1951	20608
173	1962	20595
174	1973	20579
175	1986	20590
176	2000	20602
177	2015	20625
178	2027	20629
179	2041	20639
180	2056	20668
181	2073	20709
182	2089	20750
183	2107	20799
184	2127	20869
185	2143	20906
186	2160	20941
187	2175	20964
188	2190	20986
189	2205	21008
190	2222	21045
191	2237	21067
192	2252	21089
193	2268	21116
194	2285	21155
195	2301	21179
196	2317	21208
197	2331	21214
198	2344	21221
199	2358	21223
200	2371	21229
201	2385	21232
202	2399	21243
203	2415	21261
204	2429	21269
205	2443	21276
206	2454	21262
207	2467	21262
208	2480	21252
209	2494	21262
210	2510	21281
211	2522	21278
212	2533	21252
213	2545	21246
214	2558	21244
215	2571	21235
216	2583	21227
217	2599	21249
218	2614	21263
219	2629	21274
220	2646	21301
221	2663	21330
222	2678	21342
223	2693	21358
224	2710	21381
225	2725	21392
226	2741	21413
