,carid,pushDate,pushPrice,updatePriceTimeJson,展销时间,品牌 id,车系 id,车型 id,里程,车辆颜色,车辆所在城市 id,国标码,过户次数,载客人数,注册日期,上牌日期,国别,厂商类型,年款,排量,变速箱,燃油类型,新车价,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,target,fday
1630,27,2021-08-01,1.2,{'2021-08-01': 1.2},2021-08-01,17,24,27,16.99,7,5,2,0,5,2014-06-01,2014-08-08,779413.0,1.0,2014.0,1.5,12,1,9.79,1.0,3,2,19.0,19,1,,2.0,5.0,2.0,1+2,4810*1855*1725,201403.0,1,,1.2,0
244,1481,2021-08-01,12.3,{'2021-08-01': 12.3},2021-08-01,3,133,1257,7.36,1,2,1,0,5,2017-11-01,2018-02-08,779416.0,2.0,2017.0,2.0,3,1,20.58,1.0,6,2,,3,2,,2.0,4.0,,1+2,4873*1852*1470,201712.0,1,,12.3,0
258,61625,2021-08-01,10.6,{'2021-08-01': 10.6},2021-08-01,11,63,10860,8.16,6,1,2,1,5,2012-07-01,2012-07-19,779412.0,2.0,2012.0,2.0,2,1,32.99,1.0,6,2,,12,2,2021-07-06,2.0,4.0,3.0,1+2,4763*1826*1426,201108.0,1,,10.6,0
83,61543,2021-07-23,1.6,"{'2021-07-23': 1.6, '2021-08-01': '1.3'}",2021-08-01,23,450,1221,11.11,5,7,3,1,5,2010-06-01,2010-07-28,779419.0,2.0,2007.0,1.6,6,1,8.98,1.0,2,2,232.0,25,2,2015-05-14,1.0,4.0,3.0,1,4525*1725*1425,,1,,1.3,9
751,7244,2021-08-01,8.98,{'2021-08-01': 8.98},2021-08-01,33,302,563,7.51,1,1,1,0,5,2016-07-01,2016-12-23,779414.0,2.0,2015.0,1.6,3,1,21.97,1.0,6,2,60.0,35,2,,2.0,4.0,3.0,1+2,4826*1855*1465,201501.0,2,,8.98,0
1702,18708,2021-08-01,48.0,{'2021-08-01': 48.0},2021-08-01,109,882,4205,5.47,1,1,2,1,5,2014-04-01,2014-09-18,779417.0,3.0,2014.0,3.0,13,1,89.8,1.0,8,2,,145,2,2021-07-27,5.0,4.0,3.0,"1+2,4+2",4971*1945*1461,201312.0,1,,48.0,0
1423,27650,2021-08-01,29.98,{'2021-08-01': 29.98},2021-08-01,27,481,5682,0.71,3,1,4,0,5,2020-01-01,2020-04-14,779411.0,2.0,2020.0,2.0,19,1,41.78,,3,2,301.0,50,1,,2.0,5.0,,1+2,4371*1904*1649,201907.0,2,,29.98,0
1502,1166,2021-08-01,5.67,{'2021-08-01': 5.67},2021-08-01,23,68,83,3.56,1,1,1,1,5,2019-04-01,2019-05-16,779419.0,2.0,2018.0,1.6,3,1,8.49,1.0,2,2,,25,2,2021-07-29,1.0,4.0,,1,4510*1765*1470,201806.0,1,,5.67,0
507,1428,2021-07-26,2.7,"{'2021-07-26': 2.7, '2021-08-01': '2.2'}",2021-08-01,7,449,1217,14.48,5,5,3,0,5,2008-07-01,2008-10-10,,,2008.0,1.6,4,1,12.68,1.0,2,2,68.0,7,2,,,,,1,4480*1695*1535,,2,,2.2,6
886,252,2021-08-01,8.25,{'2021-08-01': 8.25},2021-08-01,20,176,244,13.02,2,1,2,0,5,2009-08-01,2009-09-30,779412.0,3.0,2009.0,3.0,15,1,66.8,1.0,8,2,133.0,48,2,,1.0,4.0,3.0,3+2,4872*1854*1470,200907.0,2,,8.25,0
