carid,pushDate,pushPrice,updatePriceTimeJson,pullDate,withdrawDate,展销时间,品牌 id,车系 id,车型 id,里程,车辆颜色,车辆所在城市 id,国标码,过户次数,载客人数,注册日期,上牌日期,国别,厂商类型,年款,排量,变速箱,燃油类型,新车价,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,target,成交周期
68603,2021-03-11,3.98,{},2021-03-11,2021-03-11,2021-03-11,47,314,11903,11.8,1,1,2.0,1,5,2013-10-01,2013-11-08,779414.0,2.0,2014.0,1.8,3.0,1,15.89,1.0,2,2,,51,2,2018-03-09,1.0,4.0,3.0,1+2,4620*1780*1498,201311.0,1,,3.98,0.0
12312,2021-05-14,4.5,{},2021-06-14,2021-06-14,2021-05-14,62,797,3174,3.87,4,2,1.0,0,5,2017-09-01,2017-11-14,779413.0,1.0,2017.0,1.4,23.0,1,9.28,1.0,1,2,632.0,71,1,,2.0,5.0,2.0,1,4195*1780*1622,201709.0,2,,4.5,31.0
57655,2021-03-13,23.9,"{""2021-04-05"": ""23""}",2021-04-08,2021-04-08,2021-04-05,8,196,10320,1.64,2,3,4.0,1,5,2019-05-01,2019-11-08,779412.0,1.0,2019.0,2.0,7.0,1,34.0,1.0,8,2,981.0,10,2,2021-03-13,2.0,4.0,,1,5074*1893*1489,201901.0,2,,23.0,26.0
45688,2020-09-01,20.5798,{},2020-09-04,2020-09-04,2020-09-01,42,845,8504,10.45,6,1,2.0,0,2,2010-09-01,2010-11-29,779412.0,3.0,,2.9,31.0,1,82.13,1.0,13,2,,43,13,,1.0,2.0,2.0,1+2,4342*1801*1292,201102.0,1,2023-08-31,20.5798,3.0
52081,2021-04-29,12.28,"{""2021-05-20"": ""11.9""}",2021-06-21,2021-06-21,2021-05-20,2,187,9521,5.66,6,19,2.0,1,5,2014-10-01,2014-12-12,779415.0,2.0,2013.0,2.0,11.0,1,22.98,1.0,5,2,554.0,2,1,2015-11-07,1.0,5.0,2.0,1+2,4570*1845*1670,201308.0,1,,11.9,53.0
6729,2020-12-02,18.5,"{""2020-12-29"": ""17.68"", ""2020-12-30"": ""17.8799"", ""2021-01-15"": ""16.8799""}",2021-01-20,2021-01-20,2021-01-15,4,497,2196,5.18,6,9,1.0,1,5,2015-07-01,2015-12-07,779411.0,3.0,2014.0,1.6,3.0,1,29.6,1.0,5,2,,4,1,2020-11-11,2.0,5.0,2.0,1+2,4107*1789*1570,201408.0,2,,16.8799,49.0
766,2021-07-25,9.8,{},2021-08-19,2021-08-19,2021-07-25,8,116,142,3.46,1,1,1.0,0,5,2016-12-01,2016-12-27,779412.0,2.0,2016.0,1.4,16.0,1,16.69,1.0,2,2,,8,3,,2.0,5.0,2.0,1+2,4348*1807*1574,201605.0,2,,9.8,25.0
10453,2021-01-29,10.8,{},2021-03-22,2021-03-22,2021-01-29,11,186,2824,10.92,1,13,2.0,0,5,2015-03-01,2015-05-13,779412.0,2.0,2015.0,1.4,16.0,1,23.39,1.0,2,2,,12,2,,2.0,4.0,3.0,1+2,4462*1796*1421,201505.0,1,,10.8,52.0
65800,2021-04-01,12.28,{},2021-04-04,2021-04-04,2021-04-01,16,487,11533,2.52,5,19,4.0,0,5,2019-07-01,2019-08-02,779415.0,2.0,2017.0,2.0,3.0,1,15.99,1.0,2,2,,27,3,,1.0,5.0,3.0,1+2,4469*1795*1474,201905.0,1,,12.28,3.0
36776,2020-07-16,16.8,{},2020-07-25,2020-07-25,2020-07-16,50,180,7086,3.62,2,1,1.0,1,5,2016-02-01,2016-06-12,779415.0,3.0,2016.0,2.5,5.0,1,28.78,,5,2,139.0,54,1,2020-06-29,1.0,5.0,2.0,1+2,4610*1810*1735,201603.0,2,,16.8,9.0
30211,2020-11-01,19.38,"{""2020-11-05"": ""18.98"", ""2020-11-09"": ""18.58""}",2020-11-15,2020-11-15,2020-11-09,66,256,428,6.9,2,17,1.0,0,5,2018-06-01,2018-07-03,779416.0,2.0,2018.0,2.0,3.0,1,29.99,1.0,8,2,,75,2,,2.0,4.0,,3+2,5103*1852*1502,201711.0,1,,18.58,14.0
624,2021-07-20,11.42,{},2021-07-26,2021-07-26,2021-07-20,2,2,582,4.47,1,1,1.0,0,5,2020-01-01,2020-03-17,779415.0,2.0,2019.0,1.8,25.0,2,14.38,1.0,2,2,231.0,2,2,,1.0,4.0,,1+2,4635*1780*1455,201908.0,3,,11.42,6.0
12588,2020-05-09,9.7,{},2020-05-23,2020-05-23,2020-05-09,12,259,432,5.41,2,2,1.0,0,5,2017-03-01,2017-05-10,779415.0,1.0,2017.0,1.5,11.0,1,13.68,1.0,1,2,32.0,16,1,,1.0,5.0,2.0,1+2,4294*1772*1605,201701.0,1,,9.7,14.0
11435,2020-02-15,8.68,"{""2020-03-01"": ""8.6""}",2020-06-11,2020-06-11,2020-03-01,23,56,64,6.17,1,17,2.0,0,5,2015-08-01,2015-11-04,779419.0,2.0,2014.0,1.8,3.0,1,14.98,1.0,6,2,,25,2,,1.0,4.0,3.0,1,4710*1820*1470,201311.0,1,,8.6,117.0
295,2021-07-10,6.0,{},2021-07-23,2021-07-23,2021-07-10,28,192,285,1.18,1,2,4.0,0,5,2019-05-01,2020-01-21,779419.0,2.0,2019.0,1.4,3.0,1,7.98,1.0,1,2,93.0,30,1,,1.0,5.0,,1,4100*1735*1533,201905.0,2,,6.0,13.0
33761,2020-06-30,11.5,"{""2020-07-05"": ""11.3"", ""2020-07-10"": ""11""}",2020-07-15,2020-07-15,2020-07-10,12,53,6661,16.68,2,1,1.0,1,5,2012-09-01,2012-12-17,779415.0,2.0,2012.0,2.4,22.0,1,26.28,1.0,5,2,376.0,13,1,2020-06-29,1.0,5.0,2.0,1+2,4550*1820*1685,201202.0,1,,11.0,15.0
622,2021-07-02,5.8,{},2021-07-04,2021-07-04,2021-07-02,9,111,580,1.45,1,1,1.0,0,5,2019-11-01,2019-11-15,779413.0,1.0,2018.0,1.5,12.0,1,10.3,1.0,5,2,85.0,9,1,,2.0,5.0,2.0,1+2,4649*1852*1710,201812.0,1,,5.8,2.0
35492,2020-12-17,24.8,{},2020-12-25,2020-12-25,2020-12-17,20,179,1042,15.51,2,1,2.0,1,5,2010-10-01,2011-02-21,779412.0,3.0,2010.0,3.5,15.0,2,145.8,1.0,16,2,,48,2,2016-06-08,1.0,4.0,3.0,3+2,5230*1871*1485,201002.0,1,,24.8,8.0
69974,2021-04-12,4.5,"{""2021-04-16"": ""3.98""}",2021-04-20,2021-04-20,2021-04-16,3,137,531,9.07,1,17,2.0,0,5,2013-02-01,2013-03-25,779416.0,2.0,2012.0,1.6,10.0,1,13.09,1.0,2,2,,3,3,,1.0,5.0,2.0,1+2,4368*1823*1483,201202.0,1,,3.98,8.0
54141,2020-06-09,12.0,{},2020-06-11,2020-06-11,2020-06-09,16,23,9812,3.62,1,1,1.0,0,5,2017-12-01,2017-12-22,,,2018.0,2.0,3.0,1,18.98,1.0,6,2,,18,2,,,,,1+2,4870*1840*1450,201710.0,1,,12.0,2.0
4343,2020-09-09,4.6,{},2020-09-09,2020-09-09,2020-09-09,5,159,565,5.12,1,14,1.0,0,5,2016-08-01,2016-10-25,779416.0,2.0,2016.0,1.5,3.0,1,12.69,1.0,2,2,1.0,5,2,,1.0,4.0,2.0,1,4587*1798*1463,201603.0,1,,4.6,0.0
71250,2021-07-17,17.5,{},2021-07-17,2021-07-17,2021-07-17,20,415,12276,0.73,1,7,4.0,0,5,2020-04-01,2020-06-16,779412.0,2.0,2020.0,1.3,7.0,1,26.48,1.0,2,2,337.0,21,2,,2.0,4.0,,1+2,4622*1796*1454,202004.0,1,2079-10-16,17.5,0.0
18269,2020-09-14,8.68,{},2020-10-25,2020-10-25,2020-09-14,3,133,1298,7.09,1,4,2.0,0,5,2014-07-01,2014-07-14,779416.0,2.0,2013.0,1.5,3.0,1,18.98,1.0,6,2,,3,2,,2.0,4.0,3.0,1+2,4860*1854*1480,201308.0,2,,8.68,41.0
14920,2021-01-03,39.6,"{""2021-01-13"": ""39.3""}",2021-01-15,2021-01-15,2021-01-13,20,95,3573,1.56,2,7,4.0,0,5,2019-10-01,2020-01-07,779412.0,2.0,2020.0,1.5,19.0,1,42.98,1.0,8,2,307.0,21,2,,2.0,4.0,,"1+2,4+2",5065*1860*1484,201911.0,1,2072-01-02,39.3,12.0
60829,2021-04-10,6.85,"{""2021-04-20"": ""6.55""}",2021-04-25,2021-04-25,2021-04-20,13,310,10741,5.64,1,1,2.0,0,7,2012-11-01,2012-11-23,779416.0,2.0,2012.0,2.4,3.0,1,26.38,1.0,3,2,,14,1,,1.0,5.0,2.0,1+2,4673*1849*1756,201206.0,1,,6.55,15.0
18396,2020-08-08,15.8,{},2020-08-12,2020-08-12,2020-08-08,20,95,4143,15.58,2,1,2.0,0,5,2011-09-01,2012-01-10,779412.0,2.0,2012.0,3.0,15.0,1,58.8,1.0,8,2,,21,2,,1.0,4.0,3.0,3+2,5012*1855*1464,201202.0,1,,15.8,4.0
